Question,gen_output
What is the title of the first movie listed in the dataset?,The title of the first movie listed in the dataset is 'Gunslinger Girl'.
Who directed the movie 'Norm of the North: King Sized Adventure'?,Richard Finn and Tim Maltby directed the movie 'Norm of the North: King Sized Adventure'.
What is the type of content for 'Transformers Prime'?,'Transformers Prime' is a TV show.
What is the release year of the movie '#realityhigh'?,The movie '#realityhigh' was released in 2017.
Which country produced the TV Show 'Apaches'?,Spain.
What is the most recent date a show was added to Netflix?,"The most recent date a show was added to Netflix is September 9, 2019."
What is the duration of the movie 'Automata'?,The duration of the movie 'Automata' is 110 minutes.
What genre is the movie 'Love' listed under?,"The movie 'Love' is listed under several genres including Dramas, Cult Movies, Independent Movies, International Movies, Romantic Movies, Romantic TV Shows, TV Comedies, and TV Dramas."
Who are the main cast members of 'Kidnapping Mr. Heineken'?,"The main cast members of 'Kidnapping Mr. Heineken' are Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, and David Dencik."
What is the description of the movie 'Good People'?,'Good People' is about a struggling couple who find a stash of money in their neighbor's apartment after he is murdered.
What is the rating of the movie 'Krish Trish and Baltiboy: Best Friends Forever'?,The movie 'Krish Trish and Baltiboy: Best Friends Forever' has a 'TV-Y' rating.
Which country produced the most content in the dataset?,The United States produced the most content in the dataset.
What is the title of the first stand-up comedy movie listed?,The title of the first stand-up comedy movie listed is 'John Mulaney: New in Town'.
What is the earliest release year of any content in the dataset?,The earliest release year of any content in the dataset is 1925.
Who directed the movie 'Cézanne et moi'?,Daniele Thompson directed the movie 'Cézanne et moi'.
What is the duration of the show 'Transformers: Robots in Disguise'?,The show 'Transformers: Robots in Disguise' has a duration of 1 season.
Which movie has a cast that includes Antonio Banderas?,The movie that includes Antonio Banderas in its cast is 'The Mask of Zorro'.
"What is the title of the movie with the description 'T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.'?",The title of the movie with the given description is 'Black Panther'.
What genre is 'Amanda Knox' listed under?,'Amanda Knox' is listed under the genre 'Documentaries'.
"Which TV show has a primary cast of 'Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane'?","The TV show with a primary cast of 'Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane' is ""Archibald's Next Big Thing""."
What is the description of the movie 'Article 15'?,The movie 'Article 15' is about a city cop investigating a murder in India's heartland and uncovering the grim realities of caste discrimination.
"Which show was added on September 30, 2018?","I'm sorry, but I don't have the specific information about which show was added on September 30, 2018."
Who directed 'The Most Assassinated Woman in the World'?,Franck Ribière directed 'The Most Assassinated Woman in the World'.
What is the release year of the movie 'PK'?,The movie 'PK' was released in the year 2014.
What is the duration of the movie '6 Years'?,The duration of the movie '6 Years' is 80 minutes.
"Which TV show is listed under the genres 'Docuseries, Science & Nature TV'?","I'm sorry, but I don't know the answer."
What is the title of the movie directed by Gaspar Noé and released in 2015?,The title of the movie directed by Gaspar Noé and released in 2015 is 'Love'.
What is the rating of the TV show 'Castle of Stars'?,The TV show 'Castle of Stars' has a rating of TV-14.
What is the duration of the movie 'Bangkok Traffic (Love) Story'?,The duration of the movie 'Bangkok Traffic (Love) Story' is 126 minutes.
"Which movie is described as 'With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story.'?",The movie described is 'Joseph: King of Dreams'.
What is the release year of 'City of Joy'?,The release year of 'City of Joy' is 2018.
Who directed the movie 'Hell and Back'?,Tom Gianas and Ross R. Shuman directed the movie 'Hell and Back'.
What is the title of the movie with the description 'Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.'?,"The title of the movie is ""American Factory: A Conversation with the Obamas."""
Which movie was released in 2013 and has a duration of 108 minutes?,"I'm sorry, but I don't know the answer."
What is the genre of 'Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna'?,The genre of 'Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna' is International Movies and Documentaries.
"Which movie has a cast that includes Shannon Purser, Kristine Froseth, RJ Cyler?","The movie that includes Shannon Purser, Kristine Froseth, RJ Cyler in its cast is 'Sierra Burgess Is A Loser'."
What is the duration of the movie 'Manhattan Romance'?,The duration of the movie 'Manhattan Romance' is 98 minutes.
"Which movie has the genre 'Stand-Up Comedy' and was added on September 5, 2017?","The movie 'Marc Maron: Too Real' has the genre 'Stand-Up Comedy' and was added on September 5, 2017."
What is the description of the movie 'Amanda Knox'?,The movie 'Amanda Knox' is a documentary about a woman who was twice convicted and acquitted of murder. It provides an illuminating perspective as Amanda Knox and the people closest to her case speak out.
"Which movie has a cast that includes 'Ron Perlman, Rupert Grint, Robert Sheehan'?","The movie 'Moonwalkers' has a cast that includes 'Ron Perlman, Rupert Grint, Robert Sheehan'."
What is the release year of 'Shutter'?,The release year of 'Shutter' is 2004.
What is the duration of the movie 'The Mayor'?,The duration of the movie 'The Mayor' is 130 minutes.
Which country produced 'The Royal House of Windsor'?,The United Kingdom produced 'The Royal House of Windsor'.
What is the duration of the movie 'Laddaland'?,The duration of the movie 'Laddaland' is 112 minutes.
What is the genre of the movie 'Norm of the North: King Sized Adventure'?,The genres of the movie 'Norm of the North: King Sized Adventure' are Children & Family Movies and Comedies.
Which movie has a description that involves 'social media celebrity'?,The movie that involves 'social media celebrity' in its description is '#realityhigh'.
"What is the title of the movie with a runtime of 94 minutes and was added on September 9, 2016?","I'm sorry, but I don't have the information to answer that question."
What is the description of the movie 'Joaquín Reyes: Una y no más'?,"'Joaquín Reyes: Una y no más' is a comedy special featuring comedian Joaquín Reyes sharing humorous stories about various topics such as buses, bathroom habits, and royalty."
"Which TV show was released in 2017 and is categorized under 'Docuseries, Science & Nature TV'?","I'm sorry, but I don't have the information about which TV show was released in 2017 and is categorized under 'Docuseries, Science & Nature TV'."
What is the genre of the movie 'Fabrizio Copano: Solo pienso en mi'?,The genre of the movie 'Fabrizio Copano: Solo pienso en mi' is Stand-Up Comedy.
