question,ground_truth,generated_answer,similarity,coherence,groundedness,context_relevancy,toxicity,bias
What is the title of the first movie listed in the dataset?,Norm of the North: King Sized Adventure,The title of the first movie listed in the dataset is 'Gunslinger Girl'.,0.09152972840738594,0.85261963219329,0.09152972840738594,0.09152972840738594,"(0.0005752714932896197, 'toxic')","(0.0, 'No Bias Detected')"
Who directed the movie 'Norm of the North: King Sized Adventure'?,"Richard Finn, Tim Maltby",Richard Finn and Tim Maltby directed the movie 'Norm of the North: King Sized Adventure'.,0.5829047828002784,0.6862931425636344,0.5829047828002784,0.5829047828002784,"(0.0007106097182258964, 'toxic')","(0.0, 'No Bias Detected')"
What is the type of content for 'Transformers Prime'?,TV Show,'Transformers Prime' is a TV show.,0.4821239229362201,0.2952675553824053,0.4821239229362201,0.4821239229362201,"(0.0008771836874075234, 'toxic')","(0.0, 'No Bias Detected')"
What is the release year of the movie '#realityhigh'?,2017,The movie '#realityhigh' was released in 2017.,0.42051772633201145,0.3040469774789608,0.42051772633201145,0.42051772633201145,"(0.0006118415622040629, 'toxic')","(0.0, 'No Bias Detected')"
Which country produced the TV Show 'Apaches'?,Spain,Spain.,0.954318938013768,0.0,0.954318938013768,0.954318938013768,"(0.0007885359809733927, 'toxic')","(0.0, 'No Bias Detected')"
What is the most recent date a show was added to Netflix?,"September 30, 2019","The most recent date a show was added to Netflix is September 9, 2019.",0.5032963457397761,0.7736753693468769,0.5032963457397761,0.5032963457397761,"(0.0005792030715383589, 'toxic')","(0.0, 'No Bias Detected')"
What is the duration of the movie 'Automata'?,110 min,The duration of the movie 'Automata' is 110 minutes.,0.5206236273872902,0.7548969126692832,0.5206236273872902,0.5206236273872902,"(0.0006216383771970868, 'toxic')","(0.0, 'No Bias Detected')"
What genre is the movie 'Love' listed under?,"Cult Movies, Dramas, Independent Movies","The movie 'Love' is listed under several genres including Dramas, Cult Movies, Independent Movies, International Movies, Romantic Movies, Romantic TV Shows, TV Comedies, and TV Dramas.",0.4799522459878278,0.20165926528605865,0.4799522459878278,0.4799522459878278,"(0.0005820619408041239, 'toxic')","(0.0, 'No Bias Detected')"
Who are the main cast members of 'Kidnapping Mr. Heineken'?,"Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins","The main cast members of 'Kidnapping Mr. Heineken' are Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, and David Dencik.",0.41727390017196586,0.406987131295357,0.41727390017196586,0.41727390017196586,"(0.0008765845559537411, 'toxic')","(0.0, 'No Bias Detected')"
What is the description of the movie 'Good People'?,A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.,'Good People' is about a struggling couple who find a stash of money in their neighbor's apartment after he is murdered.,0.5439385028194501,0.2011620951095376,0.5439385028194501,0.5439385028194501,"(0.0016288466285914183, 'toxic')","(0.0, 'No Bias Detected')"
What is the rating of the movie 'Krish Trish and Baltiboy: Best Friends Forever'?,TV-Y,The movie 'Krish Trish and Baltiboy: Best Friends Forever' has a 'TV-Y' rating.,0.3218026842828223,0.6769644496145953,0.3218026842828223,0.3218026842828223,"(0.0008252020925283432, 'toxic')","(0.0, 'No Bias Detected')"
Which country produced the most content in the dataset?,United States,The United States produced the most content in the dataset.,0.470379835204103,0.72145026693481,0.470379835204103,0.470379835204103,"(0.0005672905244864523, 'toxic')","(0.0, 'No Bias Detected')"
What is the title of the first stand-up comedy movie listed?,Jandino: Whatever it Takes,The title of the first stand-up comedy movie listed is 'John Mulaney: New in Town'.,0.09153105464832212,0.7023584362996974,0.09153105464832212,0.09153105464832212,"(0.0007969572907313704, 'toxic')","(0.0, 'No Bias Detected')"
What is the earliest release year of any content in the dataset?,1925,The earliest release year of any content in the dataset is 1925.,0.4185705605878274,0.8680942667801238,0.4185705605878274,0.4185705605878274,"(0.0005553780938498676, 'toxic')","(0.0, 'No Bias Detected')"
Who directed the movie 'Cézanne et moi'?,Daniele Thompson,Daniele Thompson directed the movie 'Cézanne et moi'.,0.5163345075611551,0.6735205045780811,0.5163345075611551,0.5163345075611551,"(0.0006702390965074301, 'toxic')","(0.0, 'No Bias Detected')"
What is the duration of the show 'Transformers: Robots in Disguise'?,1 Season,The show 'Transformers: Robots in Disguise' has a duration of 1 season.,0.4677102488006093,0.6733118215873766,0.4677102488006093,0.4677102488006093,"(0.0006599384942092001, 'toxic')","(0.0, 'No Bias Detected')"
