Question,gen_output
What is the title of the first movie listed in the dataset?,The title of the first movie listed in the dataset is 'Gunslinger Girl'.
Who directed the movie 'Norm of the North: King Sized Adventure'?,The movie 'Norm of the North: King Sized Adventure' was directed by Richard Finn and Tim Maltby.
What is the type of content for 'Transformers Prime'?,'Transformers Prime' is a TV Show.
What is the release year of the movie '#realityhigh'?,The movie '#realityhigh' was released in the year 2017.
Which country produced the TV Show 'Apaches'?,The TV Show 'Apaches' was produced in Spain.
What is the most recent date a show was added to Netflix?,"The most recent date a show was added to Netflix is September 9, 2019."
What is the duration of the movie 'Automata'?,The movie 'Automata' has a duration of 110 minutes.
What genre is the movie 'Love' listed under?,"The movie 'Love' is listed under several genres including Dramas, Cult Movies, Independent Movies, International Movies, Romantic Movies, Romantic TV Shows, TV Comedies, and TV Dramas."
Who are the main cast members of 'Kidnapping Mr. Heineken'?,"The main cast members of 'Kidnapping Mr. Heineken' are Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, and David Dencik."
What is the description of the movie 'Good People'?,'Good People' is about a struggling couple who can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.
What is the rating of the movie 'Krish Trish and Baltiboy: Best Friends Forever'?,The movie 'Krish Trish and Baltiboy: Best Friends Forever' has a 'TV-Y' rating.
Which country produced the most content in the dataset?,The United States produced the most content in the dataset.
What is the title of the first stand-up comedy movie listed?,The title of the first stand-up comedy movie listed is 'John Mulaney: New in Town'.
What is the earliest release year of any content in the dataset?,The earliest release year of any content in the dataset is 1925.
Who directed the movie 'Cézanne et moi'?,Daniele Thompson directed the movie 'Cézanne et moi'.
What is the duration of the show 'Transformers: Robots in Disguise'?,The show 'Transformers: Robots in Disguise' has a duration of 1 season.
Which movie has a cast that includes Antonio Banderas?,"The movies that include Antonio Banderas in their cast are 'Automata', 'Security', 'DreamWorks Spooky Stories', 'The Laundromat', 'Spy Kids 2: The Island of Lost Dreams', 'Bullet Head', 'Philadelphia', 'The Music of Silence', 'Acts of Vengeance', and 'The Mask of Zorro'."
"What is the title of the movie with the description 'T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.'?",The title of the movie with the given description is 'Black Panther'.
What genre is 'Amanda Knox' listed under?,'Amanda Knox' is listed under the genre 'Documentaries'.
"Which TV show has a primary cast of 'Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane'?","The TV show with a primary cast of 'Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane' is ""Archibald's Next Big Thing""."
What is the description of the movie 'Article 15'?,"The description of the movie 'Article 15' is ""The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder."""
"Which show was added on September 30, 2018?","I'm sorry, but I don't have the specific information to answer which show was added on September 30, 2018."
